R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL,Entry of draft
1,Paolo Banchero,"SF,PF",ORL,17,34.5,0.461,0.722(5.8/8.1),0.9,21.8,6.5,3.6,0.7,0.6,2.9,-0.24,1
2,Jabari Smith,"PF,C",HOU,22,29.8,0.365,0.859(1.6/1.9),2.1,11.6,6.9,0.8,0.4,1,1.1,-0.38,1
3,Jaden Ivey,"PG,SG",DET,21,31.7,0.413,0.734(3.3/4.5),1.5,15.9,4.9,4.3,1.2,0.3,2.7,-0.39,1
4,Bennedict Mathurin,"SG,SF",IND,23,28,0.425,0.805(4.8/6.0),2.1,18.5,3.9,1.6,0.7,0.1,1.9,-0.94,1
5,Andrew Nembhard,"PG,SG",IND,18,22.8,0.46,1.000(0.6/0.6),1.4,7.8,2.6,3.7,0.9,0.2,1.2,-0.95,1
6,Keegan Murray,"SF,PF",SAC,20,28.3,0.414,0.852(1.2/1.4),1.9,11.3,4.1,0.9,0.8,0.6,1.6,-1.04,1
7,Walker Kessler,"PF,C",UTA,23,15.9,0.755,0.565(0.9/1.6),0,5.8,5.3,0.6,0.2,1.7,0.7,-1.16,1
8,Tari Eason,"SF,PF",HOU,23,18.6,0.416,0.828(1.3/1.6),0.7,8.4,5.4,0.9,1.3,0.4,0.8,-1.24,1
9,Jalen Williams,"SG,SF",OKL,19,25.2,0.529,0.799(1.5/1.8),0.7,10.7,3.1,2.6,0.6,0.3,1.6,-1.54,1
10,AJ Griffin,"SG,SF",ATL,19,18.7,0.493,1.000(0.4/0.4),1.5,9.6,2,0.7,1.1,0.1,0.7,-1.64,1
11,Josh Minott,PF,MIN,1,4.5,1,1.000(2.0/2.0),0,4,3,1,0,1,0,-1.86,1
12,Jeremy Sochan ,PF,SAS,20,24.8,0.473,0.550(0.6/1.0),0.4,8.1,4.1,2,1,0.5,1.6,-2.55,1
13,Dyson Daniels,"SG,SF",NOP,15,18.7,0.493,0.645(0.6/0.9),0.6,5.3,3.9,2.2,0.7,0.3,0.7,-3.11,1
14,Jalen Duren,"PF,C",DET,22,21.6,0.592,0.467(0.9/2.0),0,6.5,6.7,0.6,0.6,0.9,1,-3.11,1
15,Jake LaRavia ,"SF,PF",MEM,16,18.5,0.413,1.000(0.3/0.3),1.2,5.1,3.1,1,0.6,0.2,0.9,-3.83,1
16,Nikola Jovic,SF,MIA,10,16,0.396,0.947(1.8/1.9),0.5,6.5,2.6,1,0.6,0.1,0.8,-4.13,1
